 ,Sub-module,Type,Technology,Country/Region (2C),Module (1C),Sector (2C),Fuel (3C),Technology/Destination (2C),Type (2C),Technology code,Input,Input code,Output,Output code,Comments,,,Links to water module
Energy,Industry,"Paper, pulp & printing",Coal boiler/combustion with CCS,EU,E,IN,COA,FC,CP,EUEINCOAFCCP,Coal  ,EUICOA,Useful energy/heat,EUIUEP,,,,
Energy,Industry,"Paper, pulp & printing",Gas boiler/combustion,EU,E,IN,NGS,FC,0P,EUEINNGSFC0P,Gas ,EUINGS,Useful energy/heat,EUIUEP,,,,
Energy,Industry,"Paper, pulp & printing",Gas boiler/combustion with CCS,EU,E,IN,NGS,FC,CP,EUEINNGSFCCP,Gas  ,EUINGS,Useful energy/heat,EUIUEP,,,,
Energy,Industry,"Paper, pulp & printing",Biomass/biofuels/biogas boiler/combustion,EU,E,IN,BIO,FC,0P,EUEINBIOFC0P,Biomass/biofuels/biogas ,EUIBIO,Useful energy/heat,EUIUEP,,,,
Energy,Industry,"Paper, pulp & printing",Electric boiler/combustion,EU,E,IN,ELC,FC,0P,EUEINELCFC0P,Electric ,EUEFEL,Useful energy/heat,EUIUEP,,,,
Energy,Industry,"Paper, pulp & printing",Hydrogen boiler/combustion,EU,E,IN,HY2,FC,0P,EUEINHY2FC0P,Hydrogen ,EUIHY2,Useful energy/heat,EUIUEP,,,,
Energy,Industry,"Paper, pulp & printing",Solar thermal,EU,E,IN,STH,00,0P,EUEINSTH000P,Solar,EUESTH,Useful energy/heat,EUIUEP,,,,
Energy,Industry,Other industries,Oil boiler/combustion,EU,E,IN,OIL,FC,0O,EUEINOILFC0O,Oil ,EUIOIL,Useful energy/heat,EUIUEO,,,,
Energy,Industry,Other industries,Coal boiler/combustion,EU,E,IN,COA,FC,0O,EUEINCOAFC0O,Coal ,EUICOA,Useful energy/heat,EUIUEO,,,,
Energy,Industry,Other industries,Coal boiler/combustion with CCS,EU,E,IN,COA,FC,CO,EUEINCOAFCCO,Coal  ,EUICOA,Useful energy/heat,EUIUEO,,,,
Energy,Industry,Other industries,Gas boiler/combustion,EU,E,IN,NGS,FC,0O,EUEINNGSFC0O,Gas ,EUINGS,Useful energy/heat,EUIUEO,,,,
Energy,Industry,Other industries,Gas boiler/combustion with CCS,EU,E,IN,NGS,FC,CO,EUEINNGSFCCO,Gas  ,EUINGS,Useful energy/heat,EUIUEO,,,,
Energy,Industry,Other industries,Biomass/biofuels/biogas boiler/combustion,EU,E,IN,BIO,FC,0O,EUEINBIOFC0O,Biomass/biofuels/biogas ,EUIBIO,Useful energy/heat,EUIUEO,,,,
Energy,Industry,Other industries,Electric boiler/combustion,EU,E,IN,ELC,FC,0O,EUEINELCFC0O,Electric ,EUEFEL,Useful energy/heat,EUIUEO,,,,
Energy,Industry,Other industries,Hydrogen boiler/combustion,EU,E,IN,HY2,FC,0O,EUEINHY2FC0O,Hydrogen ,EUIHY2,Useful energy/heat,EUIUEO,,,,
Energy,Industry,Other industries,Solar thermal,EU,E,IN,STH,00,0O,EUEINSTH000O,Solar,EUESTH,Useful energy/heat,EUIUEO,,,,
Energy,Transport,Passenger road - vehicles,Backstop,EU,E,PT,000,VP,BS,EUEPT000VPBS,,,Passenger-km or veh-km,EUEPKM,,,,
Energy,Transport,Passenger road - bus,Backstop,EU,E,PT,000,BU,BS,EUEPT000BUBS,,,Passenger-km or veh-km,EUEBKM,,,,
Energy,Transport,Freight road - light trucks,Backstop,EU,E,FT,000,LC,BS,EUEFT000LCBS,,,tonne-km or veh-km,EUELKM,,,,
Energy,Transport,Freight road - heavy trucks,Backstop,EU,E,FT,000,HD,BS,EUEFT000HDBS,,,tonne-km or veh-km,EUEHKM,,,,
Energy,Transport,Passenger rail,Backstop,EU,E,PT,000,RL,BS,EUEPT000RLBS,,,Passenger-km or veh-km,EUERKM,,,,
Energy,Transport,Freight rail,Backstop,EU,E,FT,000,RL,BS,EUEFT000RLBS,,,tonne-km or veh-km,EUEFKM,,,,
Energy,Transport,Aviation,Backstop,EU,E,AV,000,00,BS,EUEAV00000BS,,,Passenger-km or veh-km,EUEAKM,,,,
Energy,Buildings,Space heating,Backstop,EU,E,BD,000,HT,BS,EUEBD000HTBS,,,Useful heat &/ hot water,EUEUHT,,,,
Energy,Buildings,Space cooling,Backstop,EU,E,BD,000,CL,BS,EUEBD000CLBS,,,Useful energy for cooling,EUEUCL,,,,
Energy,Buildings,Cooking,Backstop,EU,E,BD,000,CK,BS,EUEBD000CKBS,,,Useful energy for cooking,EUEUCK,,,,
Energy,Buildings,Lighting & electrical appliances,Backstop,EU,E,BD,000,AP,BS,EUEBD000APBS,,,"Useful energy for Lighting, sound etc",EUEUSE,,,,
Energy,Industry,Iron & steel,Backstop,EU,E,IN,000,0I,BS,EUEIN0000IBS,,,Useful energy/heat,EUIUEI,,,,
Energy,Industry,Chemical & petrochemical,Backstop,EU,E,IN,000,0C,BS,EUEIN0000CBS,,,Useful energy/heat,EUIUEC,,,,
Energy,Industry,Non-metallic minerals,Backstop,EU,E,IN,000,0N,BS,EUEIN0000NBS,,,Useful energy/heat,EUIUEN,,,,
Energy,Industry,"Food, beverages & tobacco",Backstop,EU,E,IN,000,0F,BS,EUEIN0000FBS,,,Useful energy/heat,EUIUEF,,,,
Energy,Industry,"Paper, pulp & printing",Backstop,EU,E,IN,000,0P,BS,EUEIN0000PBS,,,Useful energy/heat,EUIUEP,,,,
Energy,Industry,Other industries,Backstop,EU,E,IN,000,0O,BS,EUEIN0000OBS,,,Useful energy/heat,EUIUEO,,,,
Energy,Energy,Emissions,Backstop,EU,E,00,GHG,00,BS,EUE00GHG00BS,,,GHG emissions,EUEGHG,,,,
Energy,Electricity,Generation,Backstop,EU,E,EG,000,00,BS,EUEEG00000BS,,,Electricity,EUESEL,,,,
Energy,Heat,Generation,Backstop,EU,E,HG,000,00,BS,EUEHG00000BS,,,Electricity,EUEHEA,,,,
Energy,Transport,Shipping/Maritime,Backstop,EU,E,MR,000,00,BS,EUEMR00000BS,,,Passenger-km or veh-km,EUEMKM,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Ιdentifier,Industry category,,,,,,,,,,,,,,,
,,I,Iron & steel,,,,,,,,,,,,,,,
,,C,Chemical & petrochemical,,,,,,,,,,,,,,,
,,M,Non-ferrous metals,,,,,,,,,,,,,,,
,,N,Non-metallic minerals,,,,,,,,,,,,,,,
,,T,Transport equipment,,,,,,,,,,,,,,,
,,A,Machinery,,,,,,,,,,,,,,,
,,Q,Mining & quarrying,,,,,,,,,,,,,,,
,,F,"Food, beverages & tobacco",,,,,,,,,,,,,,,
,,P,"Paper, pulp & printing",,,,,,,,,,,,,,,
,,W,Wood & wood products,,,,,,,,,,,,,,,
,,B,Construction,,,,,,,,,,,,,,,
,,L,Textile & leather,,,,,,,,,,,,,,,
,,O,Not elsewhere specified (industry),,,,,,,,,,,,,,,
